First,First_Type_1,First_Type_2,First_HP,First_Attack,First_Defense,First_Sp_Atk,First_Sp_Def,First_Speed,First_Legendary,Second,Second_Type_1,Second_Type_2,Second_HP,Second_Attack,Second_Defense,Second_Sp_Atk,Second_Sp_Def,Second_Speed,Second_Legendary
609,14.0,7.0,45,35,50,70,50,30,0.0,649,3.0,12.0,55,75,60,75,60,103,0.0
270,6.0,5.0,106,90,130,90,154,110,0.0,708,6.0,12.0,100,150,120,120,100,90,0.0
460,17.0,10.0,60,79,105,59,85,36,0.0,568,12.0,7.0,85,110,90,45,90,80,0.0
626,14.0,12.0,54,78,103,53,45,22,0.0,767,8.0,9.0,58,89,77,45,45,48,0.0
139,17.0,12.0,75,100,95,40,70,110,0.0,451,0.0,7.0,80,120,79,95,79,70,0.0
694,10.0,7.0,58,109,112,48,48,109,1.0,747,13.0,2.0,74,48,76,83,81,104,0.0
455,17.0,12.0,97,165,60,65,50,58,0.0,549,17.0,12.0,100,100,100,100,100,100,0.0
181,12.0,4.0,55,35,50,55,110,85,0.0,301,9.0,12.0,60,85,60,50,50,125,0.0
208,8.0,12.0,75,75,55,105,85,30,0.0,184,14.0,7.0,85,90,80,70,80,130,0.0
536,17.0,12.0,50,65,107,105,107,86,0.0,365,17.0,1.0,45,40,60,40,75,50,0.0
260,15.0,1.0,45,75,37,70,55,83,0.0,381,9.0,7.0,75,125,100,70,80,45,0.0
471,13.0,1.0,111,83,68,92,82,39,0.0,269,6.0,5.0,100,164,150,95,120,71,0.0
621,12.0,12.0,50,75,70,35,70,48,0.0,287,17.0,9.0,38,30,41,30,41,60,0.0
406,11.0,12.0,43,30,55,40,65,97,1.0,134,17.0,12.0,65,50,35,115,95,95,0.0
592,0.0,14.0,103,60,126,80,126,50,0.0,503,12.0,12.0,70,90,110,60,75,95,0.0
564,14.0,12.0,45,55,39,35,39,42,0.0,242,10.0,12.0,35,65,35,65,35,65,0.0
579,12.0,4.0,50,55,50,36,30,43,0.0,242,10.0,12.0,35,65,35,65,35,65,0.0
200,9.0,12.0,100,50,80,60,80,50,0.0,719,0.0,12.0,56,61,65,48,45,38,0.0
376,8.0,12.0,40,40,55,40,70,55,0.0,135,17.0,7.0,65,83,57,95,85,105,0.0
76,15.0,10.0,50,75,35,70,30,40,0.0,441,9.0,14.0,84,86,88,111,101,60,0.0
667,5.0,12.0,55,55,55,85,55,30,0.0,645,9.0,17.0,51,65,65,80,75,59,0.0
475,15.0,12.0,55,66,44,44,56,85,0.0,400,2.0,7.0,90,60,70,75,70,45,0.0
3,9.0,14.0,80,82,83,100,100,80,0.0,737,16.0,8.0,86,68,72,109,66,106,0.0
435,12.0,18.0,95,109,105,75,85,56,0.0,45,13.0,7.0,115,45,20,45,25,20,0.0
231,11.0,10.0,20,10,230,10,230,5,0.0,146,15.0,18.0,130,65,60,110,95,65,0.0
510,9.0,12.0,60,62,50,62,60,40,0.0,715,12.0,7.0,91,72,90,129,90,108,0.0
456,17.0,12.0,30,42,118,42,88,30,0.0,260,15.0,1.0,45,75,37,70,55,83,0.0
164,6.0,12.0,106,190,100,154,100,130,0.0,751,3.0,13.0,60,150,50,150,50,60,0.0
424,9.0,10.0,100,150,140,100,90,90,0.0,754,15.0,11.0,101,72,72,99,89,29,0.0
258,15.0,10.0,45,30,15,85,65,65,0.0,779,2.0,10.0,43,70,48,50,60,38,1.0
360,15.0,15.0,45,100,45,45,45,10,0.0,208,8.0,12.0,75,75,55,105,85,30,0.0
723,4.0,12.0,59,59,58,90,70,73,0.0,646,16.0,12.0,71,95,85,110,95,79,0.0
384,1.0,12.0,70,70,70,70,70,70,0.0,533,8.0,2.0,50,65,107,105,107,86,1.0
734,16.0,8.0,45,22,60,27,30,29,0.0,673,12.0,12.0,66,117,70,40,50,67,0.0
141,6.0,12.0,95,125,79,60,100,81,0.0,721,6.0,13.0,88,107,122,74,75,64,0.0
244,12.0,12.0,45,55,45,65,45,75,0.0,741,4.0,12.0,66,65,48,62,57,52,0.0
509,0.0,7.0,45,20,50,60,120,50,0.0,217,16.0,10.0,48,72,48,72,48,48,0.0
633,12.0,9.0,60,105,60,120,60,105,0.0,44,13.0,7.0,73,76,75,81,100,100,0.0
595,9.0,4.0,105,140,95,55,65,45,0.0,719,0.0,12.0,56,61,65,48,45,38,0.0
606,0.0,16.0,60,100,89,55,69,112,0.0,40,4.0,12.0,81,102,77,85,75,85,0.0
368,15.0,9.0,73,115,60,60,60,90,0.0,598,17.0,12.0,105,95,75,85,75,74,0.0
746,13.0,18.0,62,48,54,63,60,68,0.0,584,17.0,10.0,55,75,85,25,25,15,0.0
350,10.0,12.0,70,140,70,110,65,105,0.0,187,3.0,12.0,20,40,15,35,35,60,0.0
303,12.0,12.0,60,50,100,85,70,65,0.0,198,12.0,12.0,75,80,95,90,100,50,0.0
169,12.0,12.0,80,82,100,83,100,80,0.0,701,12.0,15.0,91,129,90,72,90,108,0.0
569,3.0,12.0,41,50,37,50,37,66,0.0,115,10.0,16.0,50,120,53,35,110,87,0.0
231,11.0,10.0,20,10,230,10,230,5,0.0,172,12.0,7.0,78,84,78,109,85,100,0.0
71,5.0,12.0,55,50,45,135,95,120,0.0,440,3.0,12.0,64,66,68,81,76,50,0.0
659,2.0,12.0,44,50,91,24,86,10,0.0,610,8.0,12.0,70,60,75,110,75,90,0.0
570,3.0,12.0,64,88,50,88,50,106,0.0,557,1.0,12.0,75,75,95,75,95,113,0.0
712,17.0,1.0,125,170,100,120,90,95,0.0,40,4.0,12.0,81,102,77,85,75,85,0.0
451,0.0,7.0,80,120,79,95,79,70,0.0,352,10.0,2.0,170,90,45,90,45,60,0.0
661,11.0,12.0,40,55,70,45,60,30,0.0,95,8.0,14.0,90,70,80,70,95,70,0.0
540,9.0,7.0,75,125,70,125,70,115,1.0,4,9.0,14.0,80,100,123,122,120,80,0.0
130,6.0,12.0,30,45,55,70,55,85,0.0,319,16.0,4.0,84,71,43,71,43,48,0.0
125,17.0,15.0,105,125,100,60,100,100,0.0,418,14.0,12.0,80,80,90,110,130,110,1.0
309,12.0,12.0,70,60,62,80,82,60,0.0,276,1.0,12.0,70,110,75,145,85,145,0.0
579,12.0,4.0,50,55,50,36,30,43,0.0,612,17.0,16.0,50,72,35,35,35,65,0.0
716,6.0,7.0,100,77,77,128,128,90,0.0,80,6.0,12.0,80,70,65,80,120,100,0.0
482,2.0,10.0,45,30,50,65,50,45,0.0,535,14.0,12.0,50,65,107,105,107,86,0.0
376,8.0,12.0,40,40,55,40,70,55,0.0,37,13.0,12.0,90,92,87,75,85,76,0.0
6,6.0,12.0,58,64,58,80,65,80,0.0,328,3.0,12.0,50,85,125,85,115,20,0.0
343,6.0,10.0,65,73,55,47,75,85,0.0,159,14.0,12.0,90,100,90,125,85,90,0.0
509,0.0,7.0,45,20,50,60,120,50,0.0,574,14.0,7.0,75,98,63,98,63,101,0.0
546,6.0,5.0,150,120,100,120,100,90,0.0,530,17.0,2.0,45,100,135,65,135,45,1.0
486,5.0,17.0,67,89,116,79,116,33,0.0,229,6.0,16.0,70,130,100,55,80,65,0.0
686,15.0,5.0,45,85,70,40,40,60,1.0,213,0.0,17.0,95,65,110,60,130,65,0.0
304,12.0,12.0,28,25,25,45,35,40,0.0,386,11.0,12.0,44,75,35,63,33,45,0.0
514,12.0,12.0,70,70,115,130,90,60,0.0,732,14.0,12.0,78,81,71,74,69,126,0.0
161,9.0,12.0,61,84,65,70,70,70,0.0,757,5.0,7.0,53,54,53,37,46,45,0.0
150,11.0,7.0,35,40,100,90,55,35,1.0,265,9.0,12.0,100,75,115,90,115,85,0.0
436,0.0,12.0,44,58,44,58,44,61,0.0,701,12.0,15.0,91,129,90,72,90,108,0.0
221,0.0,17.0,75,90,140,60,60,40,0.0,265,9.0,12.0,100,75,115,90,115,85,0.0
436,0.0,12.0,44,58,44,58,44,61,0.0,603,6.0,12.0,75,103,80,70,80,92,0.0
242,10.0,12.0,35,65,35,65,35,65,0.0,365,17.0,1.0,45,40,60,40,75,50,0.0
792,,,85,70,80,97,80,123,,251,6.0,12.0,90,60,60,40,40,40,0.0
607,1.0,5.0,40,27,60,37,50,66,0.0,295,14.0,4.0,60,50,50,60,70,50,0.0
439,3.0,12.0,53,51,53,61,56,40,0.0,209,14.0,12.0,65,65,45,75,45,95,0.0
657,2.0,12.0,50,47,50,57,50,65,0.0,360,15.0,15.0,45,100,45,45,45,10,0.0
436,0.0,12.0,44,58,44,58,44,61,0.0,40,4.0,12.0,81,102,77,85,75,85,0.0
325,5.0,15.0,50,45,45,35,35,50,0.0,408,2.0,15.0,65,95,100,60,50,50,1.0
472,13.0,1.0,75,100,66,60,66,115,0.0,89,17.0,11.0,25,35,70,95,55,45,0.0
71,5.0,12.0,55,50,45,135,95,120,0.0,777,4.0,12.0,90,100,70,110,150,80,1.0
47,9.0,14.0,40,45,35,30,40,55,0.0,615,15.0,7.0,70,90,45,15,45,50,0.0
5,6.0,12.0,39,52,43,60,50,65,0.0,670,10.0,8.0,60,40,60,95,60,55,0.0
793,,,126,131,95,131,98,99,,314,15.0,12.0,150,160,100,95,65,100,0.0
195,9.0,7.0,70,55,55,80,60,45,0.0,461,12.0,12.0,60,69,95,69,95,36,0.0
493,13.0,5.0,68,90,65,50,55,82,0.0,568,12.0,7.0,85,110,90,45,90,80,0.0
400,2.0,7.0,90,60,70,75,70,45,0.0,341,17.0,12.0,60,50,40,85,75,95,0.0
63,17.0,12.0,65,105,60,60,70,95,0.0,297,14.0,4.0,40,40,50,30,30,30,0.0
541,12.0,12.0,100,120,120,150,100,90,1.0,446,15.0,17.0,79,85,60,55,60,71,0.0
141,6.0,12.0,95,125,79,60,100,81,0.0,152,6.0,7.0,30,80,90,55,45,55,1.0
54,10.0,12.0,60,55,50,40,55,45,0.0,115,10.0,16.0,50,120,53,35,110,87,0.0
378,8.0,12.0,66,41,77,61,87,23,0.0,161,9.0,12.0,61,84,65,70,70,70,0.0
224,0.0,5.0,75,85,200,55,65,30,0.0,316,12.0,12.0,61,90,45,50,50,160,0.0
311,12.0,12.0,60,130,80,60,60,70,0.0,398,2.0,12.0,80,120,80,120,80,100,0.0
298,14.0,4.0,70,70,40,60,40,60,0.0,35,13.0,10.0,55,47,52,40,40,41,0.0
356,2.0,7.0,70,85,140,85,70,20,0.0,132,0.0,7.0,40,45,65,100,120,90,0.0
103,3.0,12.0,60,65,80,170,95,130,0.0,370,15.0,0.0,70,55,65,95,85,70,0.0
503,12.0,12.0,70,90,110,60,75,95,0.0,453,0.0,7.0,60,70,65,125,105,90,0.0
600,10.0,1.0,75,125,75,30,75,85,0.0,598,17.0,12.0,105,95,75,85,75,74,0.0
445,15.0,17.0,59,45,40,35,40,31,0.0,45,13.0,7.0,115,45,20,45,25,20,0.0
360,15.0,15.0,45,100,45,45,45,10,0.0,548,17.0,12.0,80,80,80,80,80,80,0.0
303,12.0,12.0,60,50,100,85,70,65,0.0,133,12.0,12.0,70,110,80,55,80,105,0.0
51,0.0,14.0,75,80,85,110,90,50,0.0,331,3.0,12.0,50,70,100,40,40,30,0.0
171,12.0,7.0,58,64,58,80,65,80,0.0,559,9.0,12.0,90,93,55,70,55,55,0.0
758,3.0,4.0,86,92,88,68,75,73,0.0,129,3.0,12.0,80,92,65,65,80,68,0.0
6,6.0,12.0,58,64,58,80,65,80,0.0,255,6.0,12.0,55,20,35,20,45,75,1.0
698,2.0,11.0,55,85,55,50,55,60,1.0,154,2.0,12.0,80,105,65,60,75,130,0.0
92,17.0,12.0,35,85,45,35,35,75,0.0,491,13.0,1.0,50,92,108,92,108,35,0.0
381,9.0,7.0,75,125,100,70,80,45,0.0,73,9.0,14.0,70,80,50,35,35,35,0.0
354,9.0,1.0,70,100,70,105,75,40,0.0,271,6.0,5.0,106,130,90,110,154,90,0.0
219,4.0,12.0,70,80,65,90,65,85,0.0,49,0.0,9.0,45,50,55,75,65,30,0.0
736,16.0,8.0,62,50,58,73,54,72,0.0,244,12.0,12.0,45,55,45,65,45,75,0.0
683,0.0,6.0,77,120,90,60,90,48,0.0,245,12.0,12.0,65,40,70,80,140,70,0.0
533,8.0,2.0,50,65,107,105,107,86,1.0,452,0.0,7.0,40,30,35,50,70,55,0.0
200,9.0,12.0,100,50,80,60,80,50,0.0,588,0.0,9.0,67,57,55,77,55,114,0.0
403,16.0,15.0,55,104,105,94,75,52,0.0,636,0.0,12.0,45,30,50,55,65,45,0.0
56,12.0,12.0,10,55,25,35,45,95,0.0,561,6.0,12.0,55,55,45,63,45,45,0.0
54,10.0,12.0,60,55,50,40,55,45,0.0,119,12.0,12.0,65,90,120,85,70,60,0.0
629,17.0,7.0,75,140,65,112,65,110,0.0,141,6.0,12.0,95,125,79,60,100,81,0.0
547,6.0,5.0,120,70,120,75,130,85,0.0,779,2.0,10.0,43,70,48,50,60,38,1.0
380,8.0,12.0,45,95,50,40,50,75,0.0,547,6.0,5.0,120,70,120,75,130,85,0.0
407,16.0,12.0,45,75,60,40,30,50,1.0,307,0.0,7.0,68,85,65,165,135,100,0.0
153,2.0,12.0,60,115,105,65,70,80,0.0,559,9.0,12.0,90,93,55,70,55,55,0.0
306,0.0,10.0,68,65,65,125,115,80,0.0,268,6.0,12.0,100,134,110,95,100,61,0.0
89,17.0,11.0,25,35,70,95,55,45,0.0,382,14.0,12.0,20,15,20,10,55,80,0.0
54,10.0,12.0,60,55,50,40,55,45,0.0,32,10.0,12.0,60,90,55,90,80,110,0.0
172,12.0,7.0,78,84,78,109,85,100,0.0,745,15.0,18.0,75,80,60,65,90,102,0.0
16,0.0,14.0,60,45,50,90,80,70,0.0,110,5.0,12.0,60,50,70,80,80,140,0.0
537,17.0,12.0,50,65,107,105,107,86,0.0,734,16.0,8.0,45,22,60,27,30,29,0.0
278,12.0,12.0,60,85,60,85,60,55,0.0,94,8.0,14.0,65,45,55,45,70,45,0.0
342,17.0,12.0,60,40,50,75,85,95,0.0,643,0.0,3.0,75,87,63,87,63,98,0.0
435,12.0,18.0,95,109,105,75,85,56,0.0,165,6.0,12.0,106,150,70,194,120,140,0.0
638,9.0,14.0,70,55,95,95,110,65,0.0,691,3.0,7.0,70,55,75,45,65,60,1.0
734,16.0,8.0,45,22,60,27,30,29,0.0,718,0.0,12.0,71,120,95,120,95,99,0.0
298,14.0,4.0,70,70,40,60,40,60,0.0,781,15.0,4.0,49,66,70,44,55,51,1.0
42,6.0,12.0,95,70,73,95,90,60,0.0,113,13.0,12.0,50,50,95,40,50,35,0.0
97,8.0,14.0,105,105,75,65,100,50,0.0,316,12.0,12.0,61,90,45,50,50,160,0.0
416,2.0,7.0,80,50,100,100,200,50,1.0,397,2.0,12.0,80,80,80,80,80,80,0.0
483,2.0,10.0,63,63,47,41,41,74,0.0,400,2.0,7.0,90,60,70,75,70,45,0.0
275,17.0,10.0,70,85,65,105,85,120,0.0,155,2.0,7.0,80,135,85,70,95,150,0.0
154,2.0,12.0,80,105,65,60,75,130,0.0,461,12.0,12.0,60,69,95,69,95,36,0.0
309,12.0,12.0,70,60,62,80,82,60,0.0,4,9.0,14.0,80,100,123,122,120,80,0.0
539,9.0,12.0,80,105,105,105,105,80,1.0,30,3.0,12.0,60,85,69,65,79,80,0.0
545,6.0,12.0,150,100,120,100,120,90,0.0,266,9.0,12.0,50,64,50,45,50,41,0.0
283,0.0,12.0,100,110,90,85,90,60,0.0,340,17.0,1.0,70,75,80,135,80,135,0.0
232,17.0,16.0,80,125,75,40,95,85,0.0,254,3.0,12.0,73,95,62,85,65,85,1.0
384,1.0,12.0,70,70,70,70,70,70,0.0,427,6.0,5.0,105,180,100,180,100,115,0.0
161,9.0,12.0,61,84,65,70,70,70,0.0,781,15.0,4.0,49,66,70,44,55,51,1.0
496,17.0,12.0,135,85,40,40,85,5,0.0,420,14.0,12.0,80,90,80,130,110,110,1.0
268,6.0,12.0,100,134,110,95,100,61,0.0,159,14.0,12.0,90,100,90,125,85,90,0.0
473,16.0,15.0,90,50,34,60,44,70,0.0,593,0.0,14.0,75,80,55,25,35,35,0.0
550,17.0,12.0,70,90,90,135,90,125,0.0,475,15.0,12.0,55,66,44,44,56,85,0.0
199,9.0,12.0,70,20,50,20,50,40,0.0,785,,,65,90,122,58,75,84,
385,14.0,12.0,60,90,70,60,120,40,0.0,732,14.0,12.0,78,81,71,74,69,126,0.0
488,10.0,12.0,20,25,45,70,90,60,0.0,196,9.0,7.0,90,75,85,115,90,55,0.0
30,3.0,12.0,60,85,69,65,79,80,0.0,587,5.0,12.0,55,45,43,55,43,72,0.0
36,13.0,12.0,70,62,67,55,55,56,0.0,494,9.0,12.0,108,130,95,80,85,102,0.0
513,11.0,10.0,70,120,65,45,85,125,0.0,184,14.0,7.0,85,90,80,70,80,130,0.0
129,3.0,12.0,80,92,65,65,80,68,0.0,106,9.0,15.0,85,73,70,73,115,67,0.0
6,6.0,12.0,58,64,58,80,65,80,0.0,604,6.0,15.0,30,45,59,30,39,57,0.0
137,17.0,11.0,65,125,100,55,70,85,0.0,315,12.0,12.0,31,45,90,30,30,40,0.0
83,17.0,15.0,80,120,130,55,65,45,0.0,509,0.0,7.0,45,20,50,60,120,50,0.0
585,17.0,10.0,70,105,105,50,40,20,0.0,534,8.0,2.0,50,65,107,105,107,86,1.0
743,1.0,15.0,67,82,62,46,48,43,0.0,57,17.0,12.0,35,80,50,50,70,120,0.0
220,17.0,14.0,50,65,90,35,35,15,0.0,723,4.0,12.0,59,59,58,90,70,73,0.0
764,8.0,9.0,71,73,88,120,89,59,0.0,665,10.0,3.0,65,85,70,75,70,40,0.0
708,6.0,12.0,100,150,120,120,100,90,0.0,439,3.0,12.0,53,51,53,61,56,40,0.0
28,13.0,12.0,65,90,65,61,61,100,0.0,545,6.0,12.0,150,100,120,100,120,90,0.0
23,12.0,7.0,83,80,75,70,70,101,0.0,796,,,50,100,150,100,150,50,
698,2.0,11.0,55,85,55,50,55,60,1.0,147,15.0,7.0,65,65,60,110,95,130,0.0
306,0.0,10.0,68,65,65,125,115,80,0.0,635,3.0,7.0,75,95,60,65,60,115,0.0
158,14.0,12.0,90,90,85,125,90,100,1.0,666,5.0,12.0,85,115,80,105,80,50,0.0
55,12.0,12.0,70,65,60,90,75,90,0.0,750,3.0,13.0,59,110,150,45,49,35,0.0
513,11.0,10.0,70,120,65,45,85,125,0.0,439,3.0,12.0,53,51,53,61,56,40,0.0
769,8.0,9.0,77,59,50,67,63,46,0.0,264,9.0,12.0,115,115,85,90,75,100,0.0
232,17.0,16.0,80,125,75,40,95,85,0.0,499,9.0,11.0,70,145,88,140,70,112,0.0
23,12.0,7.0,83,80,75,70,70,101,0.0,623,14.0,12.0,72,58,80,103,80,97,0.0
97,8.0,14.0,105,105,75,65,100,50,0.0,250,3.0,12.0,75,95,95,95,95,85,0.0
324,16.0,12.0,30,45,135,45,90,30,0.0,544,9.0,12.0,110,160,110,80,110,100,0.0
517,15.0,17.0,100,100,125,110,50,50,0.0,10,17.0,12.0,44,48,65,50,64,43,0.0
586,5.0,12.0,85,135,130,60,80,25,0.0,461,12.0,12.0,60,69,95,69,95,36,0.0
779,2.0,10.0,43,70,48,50,60,38,1.0,349,12.0,12.0,70,120,40,95,40,95,0.0
669,10.0,8.0,50,30,55,65,55,20,0.0,226,1.0,11.0,60,80,50,40,40,30,0.0
623,14.0,12.0,72,58,80,103,80,97,0.0,53,10.0,12.0,60,95,80,60,80,30,0.0
538,1.0,12.0,75,75,130,75,130,95,1.0,718,0.0,12.0,71,120,95,120,95,99,0.0
438,3.0,12.0,76,104,71,104,71,108,0.0,242,10.0,12.0,35,65,35,65,35,65,0.0
523,3.0,11.0,65,60,110,130,95,65,0.0,759,15.0,4.0,42,52,67,39,56,50,0.0
14,0.0,12.0,45,30,35,20,20,45,0.0,103,3.0,12.0,60,65,80,170,95,130,0.0
378,8.0,12.0,66,41,77,61,87,23,0.0,152,6.0,7.0,30,80,90,55,45,55,1.0
478,12.0,7.0,60,60,60,105,105,105,0.0,361,15.0,15.0,50,70,50,50,50,70,0.0
137,17.0,11.0,65,125,100,55,70,85,0.0,698,2.0,11.0,55,85,55,50,55,60,1.0
354,9.0,1.0,70,100,70,105,75,40,0.0,739,4.0,12.0,54,45,47,75,98,52,0.0
233,17.0,12.0,80,185,115,40,105,75,0.0,684,0.0,6.0,59,74,50,35,50,35,0.0
291,12.0,7.0,60,70,50,100,50,65,0.0,605,0.0,16.0,40,55,99,40,79,47,0.0
96,8.0,14.0,80,80,50,40,50,25,0.0,264,9.0,12.0,115,115,85,90,75,100,0.0
730,12.0,12.0,45,50,43,40,38,62,0.0,137,17.0,11.0,65,125,100,55,70,85,0.0
129,3.0,12.0,80,92,65,65,80,68,0.0,744,15.0,18.0,95,124,78,69,71,58,0.0
611,8.0,12.0,70,92,65,80,55,98,0.0,107,10.0,12.0,30,105,90,25,25,50,0.0
58,17.0,12.0,40,45,35,40,40,90,0.0,560,6.0,12.0,110,123,65,100,65,65,0.0
658,2.0,12.0,70,77,60,97,60,108,0.0,146,15.0,18.0,130,65,60,110,95,65,0.0
625,14.0,12.0,58,50,145,95,105,30,0.0,753,15.0,2.0,78,52,60,63,65,23,0.0
524,3.0,7.0,75,95,125,45,75,95,0.0,27,12.0,7.0,40,60,30,31,31,70,0.0
794,,,126,131,95,131,98,99,,474,16.0,15.0,150,80,44,90,54,80,0.0
365,17.0,1.0,45,40,60,40,75,50,0.0,391,11.0,18.0,99,68,83,72,87,51,0.0
592,0.0,14.0,103,60,126,80,126,50,0.0,585,17.0,10.0,70,105,105,50,40,20,0.0
512,10.0,7.0,90,132,105,132,105,30,0.0,586,5.0,12.0,85,135,130,60,80,25,0.0
526,14.0,12.0,85,80,70,135,75,90,1.0,424,9.0,10.0,100,150,140,100,90,90,0.0
70,5.0,12.0,40,35,30,120,70,105,0.0,456,17.0,12.0,30,42,118,42,88,30,0.0
540,9.0,7.0,75,125,70,125,70,115,1.0,288,9.0,12.0,78,70,61,50,61,100,0.0
347,14.0,12.0,100,73,83,73,83,55,0.0,389,11.0,18.0,20,40,90,30,90,25,0.0
689,7.0,12.0,70,83,50,37,50,60,1.0,128,11.0,15.0,45,67,60,35,50,63,0.0
211,12.0,15.0,95,85,85,65,65,35,0.0,701,12.0,15.0,91,129,90,72,90,108,0.0
336,13.0,12.0,60,60,75,60,75,80,0.0,385,14.0,12.0,60,90,70,60,120,40,0.0
594,9.0,4.0,85,105,85,40,50,40,0.0,80,6.0,12.0,80,70,65,80,120,100,0.0
785,,,65,90,122,58,75,84,,490,13.0,0.0,76,65,45,92,42,91,0.0
425,6.0,12.0,100,180,160,150,90,90,0.0,308,0.0,8.0,40,30,32,50,52,65,0.0
27,12.0,7.0,40,60,30,31,31,70,0.0,731,14.0,12.0,62,73,55,56,52,84,0.0
459,17.0,12.0,60,59,85,79,105,36,0.0,399,2.0,7.0,70,40,50,55,50,25,0.0
421,14.0,12.0,80,130,100,160,120,110,1.0,494,9.0,12.0,108,130,95,80,85,102,0.0
578,12.0,12.0,116,55,85,107,95,29,0.0,768,8.0,9.0,82,121,119,69,59,71,0.0
63,17.0,12.0,65,105,60,60,70,95,0.0,82,17.0,15.0,55,95,115,45,45,35,0.0
257,15.0,10.0,50,95,95,35,110,70,0.0,221,0.0,17.0,75,90,140,60,60,40,0.0
4,9.0,14.0,80,100,123,122,120,80,0.0,150,11.0,7.0,35,40,100,90,55,35,1.0
546,6.0,5.0,150,120,100,120,100,90,0.0,333,0.0,12.0,70,110,180,60,60,50,0.0
308,0.0,8.0,40,30,32,50,52,65,0.0,544,9.0,12.0,110,160,110,80,110,100,0.0
213,0.0,17.0,95,65,110,60,130,65,0.0,442,9.0,14.0,40,55,30,30,30,60,0.0
575,14.0,7.0,50,53,48,53,48,64,0.0,302,9.0,5.0,40,30,30,55,30,85,0.0
209,14.0,12.0,65,65,45,75,45,95,0.0,645,9.0,17.0,51,65,65,80,75,59,0.0
92,17.0,12.0,35,85,45,35,35,75,0.0,768,8.0,9.0,82,121,119,69,59,71,0.0
116,12.0,12.0,50,105,79,35,110,76,0.0,672,1.0,17.0,46,87,60,30,40,57,0.0
132,0.0,7.0,40,45,65,100,120,90,0.0,69,5.0,12.0,25,20,15,105,55,90,0.0
568,12.0,7.0,85,110,90,45,90,80,0.0,396,17.0,12.0,50,50,50,50,50,50,0.0
644,9.0,17.0,36,50,50,65,60,44,0.0,218,4.0,12.0,190,33,58,33,58,33,0.0
321,16.0,16.0,72,60,30,20,30,25,0.0,163,6.0,12.0,106,110,90,154,90,130,0.0
17,0.0,14.0,40,35,30,20,20,50,0.0,164,6.0,12.0,106,190,100,154,100,130,0.0
715,12.0,7.0,91,72,90,129,90,108,0.0,190,9.0,12.0,35,20,65,40,65,20,0.0
51,0.0,14.0,75,80,85,110,90,50,0.0,57,17.0,12.0,35,80,50,50,70,120,0.0
237,16.0,7.0,40,40,40,70,40,20,0.0,448,0.0,9.0,77,85,51,55,51,65,0.0
